# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.233235632978478200e-02 1.130163169961749883e-02 0.000000000000000000e+00 5.582971875000002516e-04 1.727499438368750029e-02 2.126666650287435914e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978478200e-02 3.390489509885248609e-02 0.000000000000000000e+00 5.582971875000000347e-04 1.727499438368750029e-02 2.126666650287435914e+03 -4.052000948963991536e-15 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978477679e-02 5.650815849808744906e-02 0.000000000000000000e+00 5.582971874999997095e-04 1.727499438368750029e-02 2.126666650287435914e+03 -7.367274452661807095e-16 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978478893e-02 7.911142189732249530e-02 0.000000000000000000e+00 5.582971875000005768e-04 1.727499438368750029e-02 2.126666650287435914e+03 -3.683637226330898025e-15 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978478546e-02 1.017146852965575415e-01 0.000000000000000000e+00 5.582971874999994926e-04 1.727499438368750029e-02 2.126666650287435914e+03 1.508927328876483172e-14 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978477679e-02 1.243179486957923241e-01 0.000000000000000000e+00 5.582971874999999263e-04 1.727499438368750029e-02 2.126666650287435914e+03 -2.042770125075287305e-14 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978477853e-02 1.469212120950273148e-01 0.000000000000000000e+00 5.582971875000003600e-04 1.727499438368750029e-02 2.126666650287435914e+03 2.151595889420329985e-14 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978478893e-02 1.695244754942625831e-01 0.000000000000000000e+00 5.582971875000003600e-04 1.727499438368750029e-02 2.126666650287435914e+03 -1.480790842029882234e-13 0.000000000000000000e+00 1.353999999999997272e+03 3.312564875837122145e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969609306e+05 2.729999999999993747e+02 6.420000000000010587e+00 3.250948172163265292e+06
1.233235632978478200e-02 1.921277388934975183e-01 0.000000000000000000e+00 5.582971874999986253e-04 1.727499438368751070e-02 2.126666650287435914e+03 -1.561061986909498561e-13 0.000000000000000000e+00 1.354000000000001364e+03 3.312564875837126124e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969613671e+05 2.730000000000000000e+02 6.420000000000002593e+00 3.250948172163247596e+06
1.233235632978478200e-02 2.147310022927325091e-01 0.000000000000000000e+00 5.582971875000007937e-04 1.727499438368753498e-02 2.126666650287435459e+03 8.624634279950106694e-13 0.000000000000000000e+00 1.354000000000003183e+03 3.312564875837126124e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969613671e+05 2.730000000000000000e+02 6.420000000000001705e+00 3.250948172163247596e+06
1.233235632978479240e-02 2.373342656919673888e-01 0.000000000000000000e+00 5.582971875000013358e-04 1.727499438368659823e-02 2.126666650287440007e+03 -2.889317096335728820e-12 0.000000000000000000e+00 1.353999999999884494e+03 3.312564875837070986e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969548479e+05 2.729999999999909051e+02 6.420000000000122498e+00 3.250948172163343057e+06
1.233235632978476985e-02 2.599375290912019909e-01 0.000000000000000000e+00 5.582971874999984084e-04 1.727499438369396040e-02 2.126666650287427728e+03 1.690461771094156617e-10 0.000000000000000000e+00 1.354000000000571163e+03 3.312564875837205136e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652969706804e+05 2.730000000000129603e+02 6.419999999999824958e+00 3.250948172164047137e+06
1.233235632978479240e-02 2.825407924904370649e-01 0.000000000000000000e+00 5.582971875000014442e-04 1.727499438356131303e-02 2.126666650287640095e+03 -7.948054951716853269e-10 0.000000000000000000e+00 1.353999999988951458e+03 3.312564875835709017e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652967937582e+05 2.729999999997664304e+02 6.420000000003366125e+00 3.250948172147352248e+06
1.233235632978476985e-02 3.051440558896724720e-01 0.000000000000000000e+00 5.582971874999992758e-04 1.727499438473672697e-02 2.126666650286393178e+03 1.289467178408054541e-08 0.000000000000000000e+00 1.354000000084496833e+03 3.312564875839889282e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479652972882905e+05 2.730000000004554295e+02 6.419999999991500061e+00 3.250948172339238226e+06
1.233235632978479934e-02 3.277473192889074349e-01 0.000000000000000000e+00 5.582971875000014442e-04 1.727499436802602817e-02 2.126666650281184047e+03 -1.125771716302574442e-07 0.000000000000000000e+00 1.353999998846879862e+03 3.312564875928151764e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479653077302792e+05 2.730000000150034793e+02 6.419999999804715252e+00 3.250948168777265586e+06
1.233235632978477679e-02 3.503505826881427865e-01 0.000000000000000000e+00 5.582971874999992758e-04 1.727499460757486380e-02 2.126666650060366010e+03 -8.692815817136382583e-07 0.000000000000000000e+00 1.354000019922750880e+03 3.312564878741908956e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479656406143040e+05 2.730000004787865464e+02 6.419999993684834649e+00 3.250948200034406502e+06
1.233235632978478546e-02 3.729538460873774719e-01 0.000000000000000000e+00 5.582971875000022031e-04 1.727499410557698303e-02 2.126666633549141352e+03 -6.176901347631386671e-05 0.000000000000000000e+00 1.354000153895285621e+03 3.312565090754278003e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959479907229267992e+05 2.730000354241420837e+02 6.419999532944712151e+00 3.250947065227007028e+06
1.233235632978476638e-02 3.955571094866120463e-01 0.000000000000000000e+00 5.582971874999952643e-04 1.727516694202315545e-02 2.126665209160509221e+03 -5.412233376894888363e-03 0.000000000000000000e+00 1.354028651952960900e+03 3.312583379689603476e+02 1.716000000000000172e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 1.959501544177821197e+05 2.730030499422800858e+02 6.419959787900249459e+00 3.250889847828117199e+06
