# 1:pos.x 2:pos.y 3:pos.z 4:volume 5:rho 6:vel.x 7:vel.y 8:vel.z 9:p 10:a 11:mu 12:k 13:mu_t 14:k_t 15:S 16:massf[0]-air 17:u 18:T 19:M_local 20:total_p
1.811824999999976926e+00 2.249999999999963401e-03 0.000000000000000000e+00 4.342499999999971383e-05 1.947674390616476459e-01 1.789337704899642631e+03 -1.793517561657611115e+00 0.000000000000000000e+00 5.232260965921007300e+04 6.132683322762060243e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.716036560229270253e+05 9.356963611048137182e+02 2.917709116190136509e+00 1.697964397264098749e+06
1.811825000000037100e+00 6.750000000000118752e-03 0.000000000000000000e+00 4.342499999999846700e-05 1.980092490018149631e-01 1.778171012498721666e+03 -1.449302342506874375e+01 0.000000000000000000e+00 5.403091548332542152e+04 6.180768004274247005e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.821766629046476446e+05 9.504269599877126211e+02 2.877037405622172361e+00 1.648680737162814243e+06
1.811824999999952279e+00 1.124999999999960927e-02 0.000000000000000000e+00 4.342500000000069639e-05 2.100113637100054220e-01 1.766197528405030880e+03 -4.171238007959129845e+01 0.000000000000000000e+00 5.836537376789471455e+04 6.237639276674989333e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 6.947882811771158595e+05 9.679978073459179768e+02 2.832305529571188973e+00 1.663898677151558455e+06
1.811825000000024444e+00 1.575000000000000705e-02 0.000000000000000000e+00 4.342499999999862963e-05 2.316520220443266109e-01 1.732521579189331987e+03 -8.743149094722392078e+01 0.000000000000000000e+00 6.764146569485019427e+04 6.393703240511163131e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.299900201379097998e+05 1.017041821259165658e+03 2.713179234202174772e+00 1.607117453158309683e+06
1.811824999999973596e+00 2.024999999999968839e-02 0.000000000000000000e+00 4.342499999999993745e-05 2.497097384529285147e-01 1.708576321995023591e+03 -1.141406155255724855e+02 0.000000000000000000e+00 7.523593327959826274e+04 6.494697594059082348e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.532338721120862756e+05 1.049425783906256129e+03 2.636588705299445223e+00 1.588625287124881521e+06
1.811825000000075958e+00 2.475000000000068465e-02 0.000000000000000000e+00 4.342499999999797911e-05 2.426322588925321211e-01 1.692806092532890943e+03 -1.332004032498508366e+02 0.000000000000000000e+00 7.588070932900530170e+04 6.616913206742221973e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.818489354564221576e+05 1.089293063370805157e+03 2.566209449380822516e+00 1.436908259692374151e+06
1.811824999999998687e+00 2.924999999999998088e-02 0.000000000000000000e+00 4.342499999999928692e-05 2.389685443249022212e-01 1.697157722416909110e+03 -1.667941055374372468e+02 0.000000000000000000e+00 7.496894207520937198e+04 6.627265048645613206e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.842971790178525262e+05 1.092704022455057611e+03 2.573209537793102353e+00 1.435132166571694193e+06
1.811825000000056862e+00 3.374999999999986344e-02 0.000000000000000000e+00 4.342499999999971383e-05 2.256870937872779703e-01 1.697273317365089042e+03 -1.911711409532966854e+02 0.000000000000000000e+00 6.925439891371379781e+04 6.554421069291007598e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.671506348851050716e+05 1.068814993849193115e+03 2.605883233352600747e+00 1.394541862666172208e+06
1.811825000000023556e+00 3.824999999999974254e-02 0.000000000000000000e+00 4.342500000000016106e-05 2.020297115981761760e-01 1.706426899458950402e+03 -2.088550469896958930e+02 0.000000000000000000e+00 6.115982432105088810e+04 6.510127743962569866e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.568172007626998238e+05 1.054418174208114806e+03 2.640747885385659632e+00 1.299724781235517468e+06
1.811825000000008457e+00 4.274999999999952449e-02 0.000000000000000000e+00 4.342500000000014073e-05 1.533861800322002811e-01 1.716303119775604500e+03 -2.424517966247719301e+02 0.000000000000000000e+00 4.583585168090696243e+04 6.468052772801675019e+02 1.715999999999999833e-05 2.409999999999999989e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00 7.470661905669185799e+05 1.040832803319399773e+03 2.679853490353821588e+00 1.034611496169179329e+06
